Date,Open,High,Low,Close,Volume,Market Cap
Nov-10-2021,66929.4511216068,68769.95536854053,63347.5012,64871.25216133435,82515809848.88889,1261663607351.0745
Nov-11-2021,64933.599774562026,65579.54906232544,64198.97340220052,64800.36101601352,100838867968,1224666570146.1018
Nov-12-2021,64774.2645010658,65379.9618,62434.00795821887,64315.36363608923,71878085660.44444,1210870198644.8486
Nov-13-2021,64173.738741554094,64849.96493727608,63412.85980752298,64471.04361778848,65339468068.57143,1208320622447.2634
Nov-14-2021,64385.1823,65255.04686152799,63622.5547,65255.04686152799,59249840056.64111,1216469725526.5378
Nov-15-2021,65499.742006672335,66263.20558395793,63539.59326805828,63715.76977568518,92914188431.21678,1228575749681.0222
Nov-16-2021,63609.9984,63609.9984,58904.4092,60189.9985,103183520369.77777,1147284421893.6094
Nov-17-2021,60110.70413490989,60733.9861,58758.3434,60338.9249,96569006904.88889,1129909400493.669
Nov-18-2021,60347.5863,60862.7211,56542.1638,56749.2716,86652421148.44444,1113747141785.6326
Nov-19-2021,56959.90006641718,58289.3682,55653.0576,58046.889146434674,98574108785.77777,1079380838316.2904
Nov-20-2021,58068.74519656945,59815.37361026729,57486.3794,59815.37361026729,61671238556.44444,1107213020711.4424
Nov-21-2021,59669.73597624479,59845.0003351791,58544.94992558603,58681.09230984937,54396801621.333336,1116084489219.4612
Nov-22-2021,58711.913369104186,59060.9948,55688.9573,56369.5245,64891116995.132866,1082425278046.925
Nov-23-2021,56257.89895787447,57831.81669667565,55778.0377576763,57672.52894264075,80273621447.11111,1074357246909.3882
Nov-24-2021,57531.14976857376,57693.8412,55970.38654281419,57103.4606,92075052088.88889,1071282953938.9487
Nov-25-2021,57193.1442,59332.884,57011.14864912526,58907.050757878096,85144802119.11111,1099471586191.521
Nov-26-2021,58913.59806474905,59120.010546789614,53660.19376229783,53663.60159320845,90868399886.22223,1051040419402.7274
Nov-27-2021,53559.31317828634,55203.72320040463,53559.31317828634,54487.450221164974,85681165966.22223,1031832646506.476
Nov-28-2021,54819.26739183301,57315.01653596297,53629.7311,57158.66834037815,72397988451.55556,1030718873999.6995
Nov-29-2021,57213.04314393833,58774.7867,56795.1008,57876.49423835674,104328491548.44444,1086833411519.1975
Nov-30-2021,57767.63040979108,58994.785,56059.045,57030.12565284342,111719410744.88889,1082408766734.0312
Dec-01-2021,56970.00719815786,58958.8099,56546.995566990525,57173.0795,127630261276.44444,1083292316966.7587
Dec-02-2021,57190.9823,57347.72285172319,55902.37062622721,56405.66892064036,133521653731.55556,1070203438582.3296
Dec-03-2021,56489.30065875455,57369.39984581016,52673.8928848244,53708.6772,114935573504,1054805699201.3259
Dec-04-2021,53548.269,53793.5408,44648.3469,49014.11287550163,166195006606.22223,925178880076.1423
Dec-05-2021,49220.04600059723,49633.87158167943,47780.4392,49217.9124,136894367744,926804760642.7875
Dec-06-2021,49368.4935,50868.2329101133,47227.30325821477,50453.04698120852,165375344014.22223,921705766952.583
