Date,Open,High,Low,Close,Volume,Market Cap
Jul-17-2010,0.05,0.05,0.05,0.05,0,0
Jul-18-2010,0.0858,0.0858,0.0858,0.0858,0,0
Jul-19-2010,0.0808,0.0808,0.0808,0.0808,0,0
Jul-20-2010,0.0747,0.0747,0.0747,0.0747,0,0
Jul-21-2010,0.0792,0.0792,0.0792,0.0792,0,0
Jul-22-2010,0.0505,0.0505,0.0505,0.0505,0,0
Jul-23-2010,0.0626,0.0626,0.0626,0.0626,0,0
Jul-24-2010,0.0545,0.0545,0.0545,0.0545,0,0
Jul-25-2010,0.0505,0.0505,0.0505,0.0505,0,0
Jul-26-2010,0.056,0.056,0.056,0.056,0,0
Jul-27-2010,0.06,0.06,0.06,0.06,0,0
Jul-28-2010,0.0589,0.0589,0.0589,0.0589,0,0
Jul-29-2010,0.0699,0.0699,0.0699,0.0699,0,0
Jul-30-2010,0.0627,0.0627,0.0627,0.0627,0,0
Jul-31-2010,0.0679,0.0679,0.0679,0.0679,0,0
Aug-01-2010,0.0611,0.0611,0.0611,0.0611,0,0
Aug-02-2010,0.06,0.06,0.06,0.06,0,0
Aug-03-2010,0.06,0.06,0.06,0.06,0,0
Aug-04-2010,0.057,0.057,0.057,0.057,0,0
Aug-05-2010,0.061,0.061,0.061,0.061,0,0
Aug-06-2010,0.0623,0.0623,0.0623,0.0623,0,0
Aug-07-2010,0.059,0.059,0.059,0.059,0,0
Aug-08-2010,0.0609,0.0609,0.0609,0.0609,0,0
Aug-09-2010,0.071,0.071,0.071,0.071,0,0
Aug-10-2010,0.07,0.07,0.07,0.07,0,0
Aug-11-2010,0.067,0.067,0.067,0.067,0,0
Aug-12-2010,0.07,0.07,0.07,0.07,0,0
Aug-13-2010,0.0645,0.0645,0.0645,0.0645,0,0
Aug-14-2010,0.067,0.067,0.067,0.067,0,0
Aug-15-2010,0.0653,0.0653,0.0653,0.0653,0,0
Aug-16-2010,0.0655,0.0655,0.0655,0.0655,0,0
Aug-17-2010,0.07,0.07,0.07,0.07,0,0
Aug-18-2010,0.068,0.068,0.068,0.068,0,0
Aug-19-2010,0.0667,0.0667,0.0667,0.0667,0,0
Aug-20-2010,0.0655,0.0655,0.0655,0.0655,0,0
Aug-21-2010,0.0664,0.0664,0.0664,0.0664,0,0
Aug-22-2010,0.066,0.066,0.066,0.066,0,0
Aug-23-2010,0.0649,0.0649,0.0649,0.0649,0,0
Aug-24-2010,0.065,0.065,0.065,0.065,0,0
Aug-25-2010,0.0648,0.0648,0.0648,0.0648,0,0
Aug-26-2010,0.064,0.064,0.064,0.064,0,0
Aug-27-2010,0.065,0.065,0.065,0.065,0,0
Aug-28-2010,0.0641,0.0641,0.0641,0.0641,0,0
Aug-29-2010,0.064,0.064,0.064,0.064,0,0
Aug-30-2010,0.065,0.065,0.065,0.065,0,0
Aug-31-2010,0.06,0.06,0.06,0.06,0,0
Sep-01-2010,0.0629,0.0629,0.0629,0.0629,0,0
Sep-02-2010,0.0634,0.0634,0.0634,0.0634,0,0
Sep-03-2010,0.0609,0.0609,0.0609,0.0609,0,0
Sep-04-2010,0.0624,0.0624,0.0624,0.0624,0,0
Sep-05-2010,0.0616,0.0616,0.0616,0.0616,0,0
Sep-06-2010,0.0616,0.0616,0.0616,0.0616,0,0
Sep-07-2010,0.061,0.061,0.061,0.061,0,0
Sep-08-2010,0.062,0.062,0.062,0.062,0,0
Sep-09-2010,0.0611,0.0611,0.0611,0.0611,0,0
Sep-10-2010,0.0618,0.0618,0.0618,0.0618,0,0
Sep-11-2010,0.0637,0.0637,0.0637,0.0637,0,0
Sep-12-2010,0.0615,0.0615,0.0615,0.0615,0,0
Sep-13-2010,0.0622,0.0622,0.0622,0.0622,0,0
Sep-14-2010,0.062,0.062,0.062,0.062,0,0
Sep-15-2010,0.0604,0.0604,0.0604,0.0604,0,0
Sep-16-2010,0.0619,0.0619,0.0619,0.0619,0,0
Sep-17-2010,0.059,0.059,0.059,0.059,0,0
Sep-18-2010,0.061,0.061,0.061,0.061,0,0
