date,supply,daily_increase
2022-05-06,19032137.548449613,225.04844961315393
2022-05-07,19032364.29263566,226.7441860474646
2022-05-07,19032591.036821704,226.74418604373932
2022-05-07,19032817.78100775,226.7441860474646
2022-05-07,19033043.75,225.96899224817753
2022-05-08,19033268.75,225.0
2022-05-08,19033493.75,225.0
2022-05-08,19033718.75,225.0
2022-05-08,19033943.75,225.0
2022-05-08,19034168.75,225.0
2022-05-09,19034393.75,225.0
2022-05-09,19034618.75,225.0
2022-05-09,19034843.75,225.0
2022-05-09,19035068.75,225.0
2022-05-10,19035293.75,225.0
2022-05-10,19035518.75,225.0
2022-05-10,19035743.75,225.0
2022-05-10,19035968.75,225.0
2022-05-11,19036193.75,225.0
2022-05-11,19036418.75,225.0
2022-05-11,19036643.75,225.0
2022-05-11,19036868.75,225.0
2022-05-12,19037093.75,225.0
2022-05-12,19037318.75,225.0
2022-05-12,19037543.75,225.0
2022-05-12,19037768.75,225.0
2022-05-13,19037993.75,225.0
2022-05-13,19038218.75,225.0
2022-05-13,19038443.75,225.0
2022-05-13,19038668.75,225.0
2022-05-14,19038893.75,225.0
2022-05-14,19039118.75,225.0
2022-05-14,19039343.75,225.0
2022-05-14,19039568.75,225.0
2022-05-15,19039793.75,225.0
2022-05-15,19040020.203488372,226.4534883722663
2022-05-15,19040248.691860463,228.48837209120393
2022-05-16,19040477.18023256,228.48837209492922
2022-05-16,19040706.44379845,229.263565890491
2022-05-16,19040933.769379847,227.32558139786124
2022-05-16,19041160.51356589,226.74418604373932
2022-05-16,19041387.257751938,226.7441860474646
2022-05-17,19041612.5,225.24224806204438
2022-05-17,19041837.5,225.0
2022-05-17,19042062.5,225.0
2022-05-17,19042287.5,225.0
2022-05-18,19042512.5,225.0
2022-05-18,19042737.5,225.0
2022-05-18,19042962.5,225.0
2022-05-18,19043187.5,225.0
2022-05-19,19043413.662790697,226.16279069706798
2022-05-19,19043652.61627907,238.9534883722663
2022-05-19,19043891.56976744,238.9534883722663
2022-05-20,19044131.976744186,240.40697674453259
2022-05-20,19044365.69767442,233.72093023359776
2022-05-20,19044592.441860463,226.74418604373932
2022-05-21,19044818.75,226.30813953652978
2022-05-21,19045043.75,225.0
2022-05-21,19045269.5251938,225.77519379928708
2022-05-21,19045496.269379847,226.7441860474646
2022-05-22,19045723.01356589,226.74418604373932
2022-05-22,19045949.757751938,226.7441860474646
2022-05-22,19046175.0,225.24224806204438
2022-05-22,19046400.0,225.0
2022-05-23,19046625.0,225.0
2022-05-23,19046850.0,225.0
2022-05-23,19047075.0,225.0
2022-05-23,19047300.0,225.0
2022-05-24,19047525.0,225.0
2022-05-24,19047750.0,225.0
2022-05-24,19047975.0,225.0
2022-05-25,19048200.0,225.0
2022-05-25,19048425.0,225.0
2022-05-25,19048650.0,225.0
2022-05-25,19048875.0,225.0
2022-05-26,19049100.0,225.0
2022-05-26,19049325.0,225.0
2022-05-26,19049550.0,225.0
2022-05-26,19049775.0,225.0
2022-05-27,19050000.0,225.0
2022-05-27,19050225.0,225.0
2022-05-27,19050450.0,225.0
2022-05-27,19050675.0,225.0
2022-05-28,19050900.0,225.0
2022-05-28,19051125.0,225.0
2022-05-28,19051350.0,225.0
2022-05-28,19051575.0,225.0
2022-05-29,19051800.0,225.0
2022-05-29,19052025.0,225.0
2022-05-29,19052250.0,225.0
2022-05-29,19052475.0,225.0
2022-05-30,19052700.0,225.0
2022-05-30,19052925.0,225.0
2022-05-30,19053150.0,225.0
2022-05-30,19053375.0,225.0
2022-05-30,19053600.0,225.0
2022-05-31,19053825.0,225.0
2022-05-31,19054050.0,225.0
2022-05-31,19054275.0,225.0
2022-05-31,19054500.0,225.0
2022-06-01,19054725.0,225.0
2022-06-01,19054950.0,225.0
2022-06-01,19055175.0,225.0
2022-06-02,19055400.0,225.0
2022-06-02,19055625.0,225.0
2022-06-02,19055850.0,225.0
2022-06-02,19056075.0,225.0
2022-06-03,19056300.0,225.0
2022-06-03,19056525.0,225.0
2022-06-03,19056750.0,225.0
2022-06-03,19056975.0,225.0
2022-06-04,19057200.0,225.0
2022-06-04,19057425.0,225.0
2022-06-04,19057650.0,225.0
2022-06-04,19057875.242248062,225.24224806204438
2022-06-05,19058101.98643411,226.7441860474646
2022-06-05,19058328.730620153,226.74418604373932
2022-06-05,19058555.4748062,226.7441860474646
2022-06-05,19058781.68604651,226.2112403102219
2022-06-06,19059008.43023256,226.7441860474646
2022-06-06,19059235.174418606,226.7441860474646
2022-06-06,19059461.91860465,226.74418604373932
2022-06-06,19059688.12984496,226.2112403102219
2022-06-07,19059914.874031007,226.7441860474646
2022-06-07,19060141.618217055,226.7441860474646
2022-06-07,19060368.362403102,226.7441860474646
2022-06-07,19060593.75,225.3875968977809
2022-06-08,19060818.75,225.0
2022-06-08,19061043.75,225.0
2022-06-08,19061268.75,225.0
2022-06-08,19061493.75,225.0
2022-06-08,19061718.75,225.0
2022-06-09,19061943.75,225.0
2022-06-09,19062168.75,225.0
2022-06-09,19062393.75,225.0
2022-06-09,19062618.75,225.0
2022-06-10,19062843.75,225.0
2022-06-10,19063068.75,225.0
2022-06-10,19063293.75,225.0
2022-06-10,19063518.75,225.0
2022-06-11,19063743.75,225.0
2022-06-11,19063968.75,225.0
2022-06-11,19064193.75,225.0
2022-06-11,19064418.75,225.0
2022-06-11,19064643.75,225.0
2022-06-12,19064868.75,225.0
2022-06-12,19065093.75,225.0
2022-06-12,19065318.75,225.0
2022-06-13,19065544.476744186,225.72674418613315
2022-06-13,19065771.220930234,226.7441860474646
2022-06-13,19065997.965116277,226.74418604373932
2022-06-13,19066224.951550387,226.986434109509
2022-06-14,19066451.98643411,227.03488372266293
2022-06-14,19066678.730620153,226.74418604373932
2022-06-14,19066905.4748062,226.7441860474646
2022-06-14,19067131.25,225.77519379928708
2022-06-15,19067356.25,225.0
2022-06-15,19067581.25,225.0
2022-06-15,19067806.25,225.0
2022-06-15,19068031.25,225.0
2022-06-15,19068256.25,225.0
2022-06-16,19068481.25,225.0
2022-06-16,19068706.25,225.0
2022-06-16,19068931.25,225.0
2022-06-17,19069156.25,225.0
2022-06-17,19069381.25,225.0
2022-06-17,19069606.25,225.0
2022-06-18,19069831.25,225.0
2022-06-18,19070056.25,225.0
2022-06-18,19070281.25,225.0
2022-06-18,19070506.25,225.0
2022-06-19,19070731.25,225.0
2022-06-19,19070956.25,225.0
2022-06-19,19071181.25,225.0
2022-06-19,19071406.25,225.0
2022-06-20,19071631.25,225.0
2022-06-20,19071856.25,225.0
2022-06-20,19072081.25,225.0
2022-06-20,19072306.83139535,225.58139535039663
2022-06-21,19072533.575581394,226.74418604373932
2022-06-21,19072760.31976744,226.7441860474646
2022-06-21,19072987.06395349,226.7441860474646
2022-06-21,19073212.5,225.43604651093483
2022-06-22,19073437.5,225.0
2022-06-22,19073662.5,225.0
2022-06-22,19073887.5,225.0
2022-06-23,19074112.5,225.0
