Date,Open,High,Low,Close,Volume,Market Cap
Jan-17-2015,208.097,211.731,194.875,199.279,31657332.75261324,2754969723.0868874
Jan-18-2015,199.26,218.695,194.506,210.591,25334091.666666668,2840657479.6449647
Jan-19-2015,210.339,216.728,207.318,214.761,24348881.944444444,2924412496.1343327
Jan-20-2015,214.861,215.241,205.153,211.258,21699269.444444444,2871173536.743687
Jan-21-2015,211.315,227.788,211.212,226.878,20850395.12195122,2953786368.72419
Jan-22-2015,226.897,237.019,226.434,232.832,40287801.73611111,3198342836.902737
Jan-23-2015,233.406,234.845,225.196,232.909,25792802.430555556,3161637648.2435985
Jan-24-2015,232.879,248.21,230.022,247.864,21773208.013937283,3263833383.0718083
Jan-25-2015,247.847,255.074,243.89,253.477,31492829.513888888,3410510931.0835357
Jan-26-2015,253.718,309.384,253.718,273.388,80132512.84722222,3900356479.434422
Jan-27-2015,273.473,275.48,250.653,263.918,70461913.8888889,3587750171.112127
Jan-28-2015,263.475,266.535,227.046,233.651,34175668.29268292,3481142863.1564684
Jan-29-2015,233.915,238.706,220.712,233.521,42532605.902777776,3186958130.9957037
Jan-30-2015,233.513,242.851,225.839,225.839,30103906.25,3190990551.62449
Jan-31-2015,226.425,233.504,216.309,217.8,23533107.01754386,3140957292.3373613
Feb-01-2015,217.464,231.574,212.015,226.998,26177301.388888888,3003562811.900202
Feb-02-2015,226.972,242.175,222.659,238.469,29859298.263888888,3122146130.306817
Feb-03-2015,238.229,245.957,224.483,227.129,38142432.98611111,3256028518.5353575
Feb-04-2015,227.268,230.058,221.113,226.147,32906926.923076924,3114947808.2218213
Feb-05-2015,226.853,239.405,214.725,216.969,24377348.263888888,3089400040.965021
Feb-06-2015,217.111,230.51,216.232,222.236,25214846.341463413,3046082848.9789786
Feb-07-2015,222.266,230.299,222.266,227.72,22751003.135888502,3126088565.0778537
Feb-08-2015,227.754,229.438,221.077,223.3,19479428.472222224,3107583892.340442
Feb-09-2015,223.412,223.977,217.019,219.838,21018298.25783972,3054340640.2821293
Feb-10-2015,220.11,221.807,215.332,220.053,24379975.694444444,3020713042.9552183
Feb-11-2015,219.732,223.406,218.074,219.004,20429250.871080138,3051893763.726647
Feb-12-2015,219.185,222.199,217.614,221.609,15482650,3038015092.5743055
Feb-13-2015,221.764,240.259,221.262,235.488,29902353.819444444,3208498043.7731314
Feb-14-2015,235.427,259.808,235.427,257.747,42832044.40559441,3404528656.154584
Feb-15-2015,257.321,265.611,227.684,233.704,53506791.28919861,3463475257.064529
Feb-16-2015,234.825,239.521,229.022,233.71,46726012.5,3245383343.9318547
Feb-17-2015,233.843,245.775,232.314,243.452,25185610.80139373,3298455694.423523
Feb-18-2015,243.61,244.251,232.34,236.216,26480426.736111112,3321469201.5245166
Feb-19-2015,236.326,242.672,235.592,240.701,21984973.958333332,3298162603.443308
Feb-20-2015,240.283,247.101,239.299,244.077,23921576.388888888,3368277360.6740975
Feb-21-2015,243.779,255.32,243.184,244.376,17709515.14084507,3393934145.1746273
Feb-22-2015,244.534,246.392,233.851,236.145,13857649.305555556,3348417840.9373527
Feb-23-2015,235.977,240.109,232.421,238.702,17710039.583333332,3276518999.9708576
Feb-24-2015,238.892,239.901,236.402,238.79,16175405.923344947,3307160808.03435
Feb-25-2015,238.735,239.34,235.53,237.38,13415927.083333334,3300354799.6002874
Feb-26-2015,237.47,237.71,234.257,236.558,13091257.986111112,3281945192.549233
Feb-27-2015,236.426,256.653,236.426,253.828,30844405.94795539,3468357831.1645737
Feb-28-2015,253.52,254.692,249.479,254.274,25485243.26241135,3504279975.875774
Mar-01-2015,254.263,261.66,245.933,260.371,13746793.75,3496305652.1836243
Mar-02-2015,260.202,276.301,258.313,275.598,32971381.944444444,3650683203.8385105
Mar-03-2015,275.67,285.796,268.161,281.702,44364694.690265484,3809944816.910402
Mar-04-2015,281.99,284.225,268.126,273.457,45789361.64874552,3885585958.521484
Mar-05-2015,273.092,281.667,264.769,275.968,40100308.68055555,3764445004.4478407
Mar-06-2015,276.178,277.608,270.015,272.6,38645388.88888889,3792884207.99258
Mar-07-2015,272.723,277.854,270.133,276.18,22026182.86713287,3796753543.769842
Mar-08-2015,276.261,277.858,272.565,274.383,19532804.861111112,3831230014.109124
Mar-09-2015,274.354,292.701,273.893,289.861,34566001.3986014,3930858676.058018
Mar-10-2015,289.607,300.044,289.607,291.696,69603594.40559441,4094007956.824393
Mar-11-2015,291.76,297.391,290.508,296.468,50939541.114982575,4090887984.200996
Mar-12-2015,296.379,297.088,292.413,294.727,33172506.25,4099160728.909862
Mar-13-2015,294.354,294.498,286.526,286.526,30383695.818815332,4052982444.671203
Mar-14-2015,285.337,286.342,280.976,282.24,29209395.454545453,3940569170.4810295
Mar-15-2015,281.885,286.529,280.996,285.607,14843439.930555556,3956577508.4333353
Mar-16-2015,286.393,294.112,285.685,290.524,18391076.736111112,4050604087.270774
