Date,Open,High,Low,Close,Volume,Market Cap
Nov-11-2022,17592.6207,17675.2616,16453.919131783343,17104.1984,108607980856.88889,328039991720.39703
Nov-12-2022,17047.8221,17068.2517,16639.61702414627,16802.1943,68135292657.77778,322974047734.48645
Nov-13-2022,16800.9926,16933.5745,16272.7358,16349.997597081689,39952276053.333336,319120153090.6926
Nov-14-2022,16331.35217790576,17151.974261932253,15838.3193,16630.63746440169,64554331975.111115,315536886023.03705
Nov-15-2022,16614.28715429449,17086.6912,16555.1515,16894.9265,68872354801.77777,322602754990.9194
Nov-16-2022,16898.2358,16988.2412,16414.320759624643,16673.507711410086,57818172615.111115,320803225984.05316
Nov-17-2022,16670.395122861475,16728.656008038848,16448.1626,16690.889527338422,51656804096,319058775211.65137
Nov-18-2022,16692.922783418253,16953.88897429152,16561.0259,16711.141784652442,47289260010.59233,321561473484.1119
Nov-19-2022,16704.62139577964,16807.0579,16565.157,16715.838593288543,33337255479.303135,319762448550.92664
Nov-20-2022,16704.48043265009,16746.2736,16248.1492,16291.4477,28445975203.555557,318714896749.2495
Nov-21-2022,16286.8064,16286.8064,15598.4951,15779.971701749892,50201276579.55556,308166351834.29913
Nov-22-2022,15781.030076108182,16260.7217,15666.2745,16174.9574,58615626723.55556,306392350546.7838
Nov-23-2022,16221.67,16652.2104,16167.2766,16615.2292,54191750385.77778,316451686349.8898
Nov-24-2022,16624.7795,16779.3432,16474.392576966395,16597.7313,51316136348.44444,318979069699.44324
Nov-25-2022,16609.3759,16609.3759,16371.869099382935,16511.91127766036,40539647985.77778,316859810140.8318
Nov-26-2022,16513.9287,16683.874870359,16415.619927652573,16461.1945184485,39602744661.333336,318241327421.49585
Nov-27-2022,16457.253279063327,16593.459556800455,16419.021398214274,16432.36461511383,35423221802.81533,317875547190.54175
Nov-28-2022,16425.2129114358,16481.7679,16044.1124,16212.403248220657,44930760967.111115,311557026058.74457
Nov-29-2022,16213.3896,16522.977471229282,16111.249696496165,16436.1924,52776387683.55556,315419507134.79785
Nov-30-2022,16438.7456,17212.898261213835,16438.7456,17188.63467960707,44743059370.666664,324786816323.82556
Dec-01-2022,17165.41156726685,17214.3263,16883.1711,16956.1893,38788974492.44444,327771074759.13477
Dec-02-2022,16972.464618272137,17088.909103174137,16862.767959664725,17088.4265,33498051230.773518,325967434091.6198
Dec-03-2022,17092.1973,17122.7858,16876.10583144502,16903.723625317816,28422679969.44948,326144864089.25836
Dec-04-2022,16880.830412966345,17144.100549809053,16880.830412966345,17130.165329487445,25946687018.666668,326979103201.65906
Dec-05-2022,17112.095826545075,17391.96733663847,16884.1888,16959.336063823,33310234567.11111,329965811699.66473
Dec-06-2022,16967.683779550847,17101.713469188366,16925.225101248896,17088.37611635709,33312994595.555557,326626901868.3153
Dec-07-2022,17089.81610929171,17096.3844,16746.3916,16838.047473161492,33628606812.444443,324422344915.8258
Dec-08-2022,16835.04923550135,17290.3,16791.27889230745,17254.841595411017,31326142820.794426,325363729467.9203
Dec-09-2022,17226.675972109428,17272.187489496646,17081.5468,17123.38672774531,34491913201.77778,330278993230.93866
Dec-10-2022,17128.161092465376,17216.17460724164,17105.50511844839,17114.3405863705,25743383676.444443,329719372087.4576
Dec-11-2022,17129.863554165495,17253.191402270015,17080.092146895866,17091.916535641005,19589911018.666668,329675056005.3344
Dec-12-2022,17089.446091063823,17220.814535119767,16882.272894519563,17220.814535119767,27210991608.88889,326657443273.10474
Dec-13-2022,17202.490499300773,17932.4687,17097.2124,17766.350552594908,41107035768.888885,335677125245.7431
Dec-14-2022,17779.867619706492,18329.450172030054,17710.387652122143,17799.16897417585,53775197070.22222,343458912279.5559
Dec-15-2022,17794.87527368345,17843.08619595741,17306.065623820537,17339.458270551433,56261667200,337849259128.5813
Dec-16-2022,17358.5225206672,17513.9378,16529.297357680505,16608.4932,47661468458.666664,328532141010.85126
Dec-17-2022,16636.47028683979,16785.892297944447,16594.00093335609,16785.892297944447,46630829169.77778,320862704602.3825
Dec-18-2022,16779.090095384396,16820.63769137972,16677.74536920177,16750.765809591638,25538438677.333332,321547718539.3389
Dec-19-2022,16741.11828923561,16801.150077948707,16366.3141,16424.79671324863,29555712497.77778,320479941309.2338
Dec-20-2022,16441.86651327895,16994.6028,16408.67749509621,16902.54219033073,50421339946.666664,322615905375.6514
Dec-21-2022,16901.38001431798,16921.028080591037,16740.439,16806.416495870926,42938911495.111115,323370704324.2319
Dec-22-2022,16818.780905015054,16859.2589,16572.0123,16822.062144857282,33312386965.333332,322422836811.5665
Dec-23-2022,16819.795401654657,16903.32652267795,16772.50272292723,16780.463676220097,35636481443.55556,323385347331.6032
Dec-24-2022,16779.530797670854,16853.5422,16779.530797670854,16833.8821,20626954275.555557,323406562648.0166
Dec-25-2022,16836.196,16849.6872,16739.6511,16829.918403840365,21982382836.404182,323158776557.9099
Dec-26-2022,16832.923370768047,16911.64997081397,16804.8397873503,16908.94843019802,26543512369.77778,323775353259.3779
Dec-27-2022,16919.823027132126,16963.0029797476,16631.43,16706.459709721472,31444051214.22222,322923072279.5686
Dec-28-2022,16706.249402023037,16762.0146,16488.7629,16549.98326575003,38602978211.55556,319713634177.72437
Dec-29-2022,16547.53492087718,16655.070277639483,16503.1955,16641.44486445416,41785365276.44444,318829546785.7664
